n_teams_interested,n_rumor_mentions,has_big_market_interest,first_rumor_doy,rumor_intensity,mlbam_id,contract_year
0,0,0,365,0,454560,2016
0,1,0,365,0,543362,2016
1,14,1,365,14,431094,2016
0,0,0,365,0,641553,2016
1,1,0,365,1,452252,2016
0,1,0,365,0,446192,2016
0,4,0,365,0,489267,2016
0,0,0,365,0,666969,2016
0,3,0,365,0,457477,2016
0,1,0,365,0,488671,2016
0,0,0,365,0,502100,2016
0,1,0,365,0,506560,2016
0,0,0,365,0,433217,2016
0,2,0,365,0,457706,2016
0,0,0,365,0,572019,2016
0,2,0,365,0,519184,2016
0,3,0,365,0,435064,2016
0,2,0,365,0,461235,2016
0,0,0,365,0,474319,2016
0,2,0,365,0,430910,2016
2,9,1,365,18,453895,2016
0,0,0,365,0,451109,2016
0,1,0,365,0,477165,2016
0,0,0,365,0,460131,2016
0,0,0,365,0,592407,2016
0,0,0,365,0,518725,2016
0,0,0,365,0,136860,2016
0,0,0,365,0,449786,2016
0,3,0,365,0,460576,2016
0,1,0,365,0,118191,2016
0,0,0,365,0,519037,2016
0,0,0,365,0,435041,2016
0,1,0,365,0,491640,2016
0,0,0,365,0,527049,2016
0,2,0,365,0,400284,2016
0,6,0,365,0,452080,2016
0,0,0,365,0,458085,2016
0,1,0,365,0,499624,2016
0,0,0,365,0,456121,2016
0,3,0,365,0,447736,2016
0,0,0,365,0,458689,2016
0,0,0,365,0,460269,2016
1,1,0,365,1,502317,2016
0,0,0,365,0,455104,2016
0,4,0,365,0,453400,2016
0,0,0,365,0,476633,2016
0,1,0,365,0,570799,2016
0,0,0,365,0,605125,2016
0,2,0,365,0,458675,2016
0,0,0,365,0,518577,2016
0,1,0,365,0,543377,2016
1,1,0,365,1,502226,2016
0,0,0,365,0,518614,2016
0,0,0,365,0,537953,2016
3,3,1,365,9,621002,2016
0,3,0,365,0,457787,2016
0,0,0,365,0,571679,2016
0,2,0,365,0,518953,2016
0,2,0,365,0,519083,2016
0,1,0,365,0,457775,2016
3,2,0,365,6,451594,2016
0,1,0,365,0,502126,2016
0,1,0,365,0,456781,2016
0,0,0,365,0,460077,2016
0,0,0,365,0,543482,2016
0,1,0,365,0,453211,2016
0,0,0,365,0,554429,2016
0,0,0,365,0,543038,2016
0,0,0,365,0,622226,2016
5,4,1,365,20,429665,2016
0,0,0,365,0,519068,2016
0,0,0,365,0,519303,2016
0,0,0,365,0,466988,2016
0,0,0,365,0,502034,2016
0,0,0,365,0,518700,2016
0,1,0,365,0,519299,2016
0,7,0,365,0,458913,2016
0,2,0,365,0,430947,2016
0,0,0,365,0,456124,2016
0,2,0,365,0,516811,2016
0,2,0,365,0,465784,2016
0,8,0,365,0,516472,2016
0,1,0,365,0,620439,2016
0,0,0,365,0,429711,2016
0,0,0,365,0,434567,2016
0,0,0,365,0,493596,2016
1,2,1,365,2,502205,2016
1,7,0,365,7,463610,2016
0,0,0,365,0,453923,2016
0,0,0,365,0,425565,2016
0,0,0,365,0,474233,2016
0,4,0,365,0,592656,2016
0,0,0,365,0,625329,2016
0,0,0,365,0,516949,2016
0,4,0,365,0,435622,2016
2,9,0,365,18,113113,2016
0,0,0,365,0,543776,2016
0,0,0,365,0,543094,2016
0,1,0,365,0,518653,2016
0,0,0,365,0,572876,2016
1,1,1,365,1,425766,2016
0,0,0,365,0,457449,2016
0,0,0,365,0,457454,2016
0,0,0,365,0,430652,2016
0,1,0,365,0,488771,2016
0,0,0,365,0,445095,2016
0,1,0,365,0,425772,2016
0,6,0,365,0,457789,2016
0,3,0,365,0,543079,2016
0,0,0,365,0,543742,2016
0,0,0,365,0,524968,2016
0,3,0,365,0,425509,2016
1,3,1,365,3,596847,2016
0,0,0,365,0,110073,2016
0,1,0,365,0,276519,2016
0,1,0,365,0,542994,2016
0,0,0,365,0,519345,2016
0,0,0,365,0,543213,2016
4,18,1,365,72,445055,2016
0,0,0,365,0,457788,2016
0,2,0,365,0,628336,2016
0,1,0,365,0,517369,2016
0,0,0,365,0,467798,2016
0,1,0,365,0,285078,2016
1,3,0,365,3,502210,2016
0,0,0,365,0,489365,2016
0,3,0,365,0,425543,2016
0,0,0,365,0,500887,2016
2,6,1,365,12,110713,2016
0,0,0,365,0,518542,2016
0,2,0,365,0,464433,2016
0,3,0,365,0,516809,2016
0,0,0,365,0,448605,2016
2,4,1,365,8,457759,2016
4,1,1,365,4,434778,2016
0,2,0,365,0,435559,2016
0,3,0,365,0,572669,2016
0,0,0,365,0,502582,2016
0,0,0,365,0,543894,2016
0,2,0,365,0,472528,2016
0,2,0,365,0,448602,2016
4,2,1,365,8,444432,2016
0,0,0,365,0,518625,2016
1,1,1,365,1,407812,2016
0,2,0,365,0,459964,2016
0,0,0,365,0,473724,2016
0,0,0,365,0,605474,2016
0,1,0,365,0,449168,2016
0,5,0,365,0,446308,2016
0,2,0,365,0,124327,2016
0,0,0,365,0,544925,2016
1,1,0,365,1,456422,2016
